,,,True Occupation,False Occupation,True Participant,False Participant,True Participant Rate,False Participant Rate,True Occupation Rate,False Occupation Rate,Accuracy
,,male,28,38,18,15,0.32142857142857145,0.3488372093023256,0.6511627906976745,0.6785714285714286,0.46464646464646464
,,female,44,49,15,8,0.234375,0.15384615384615385,0.8461538461538461,0.765625,0.5086206896551724
,,neutral,36,42,17,13,0.288135593220339,0.2653061224489796,0.7346938775510204,0.711864406779661,0.49074074074074076
,Black,male,22,31,22,19,0.41509433962264153,0.4634146341463415,0.5365853658536586,0.5849056603773585,0.46808510638297873
,Black,female,32,41,16,12,0.2807017543859649,0.2727272727272727,0.7272727272727273,0.7192982456140351,0.4752475247524752
,Black,neutral,25,34,20,17,0.37037037037037035,0.40476190476190477,0.5952380952380952,0.6296296296296297,0.46875
,White,male,21,32,20,18,0.38461538461538464,0.46153846153846156,0.5384615384615384,0.6153846153846154,0.45054945054945056
,White,female,31,41,16,12,0.2807017543859649,0.27906976744186046,0.7209302325581395,0.7192982456140351,0.47
,White,neutral,25,35,18,17,0.33962264150943394,0.40476190476190477,0.5952380952380952,0.660377358490566,0.45263157894736844
,Asian,male,24,33,19,18,0.36538461538461536,0.42857142857142855,0.5714285714285714,0.6346153846153846,0.4574468085106383
,Asian,female,33,41,16,12,0.2807017543859649,0.26666666666666666,0.7333333333333333,0.7192982456140351,0.4803921568627451
,Asian,neutral,26,38,18,17,0.32142857142857145,0.3953488372093023,0.6046511627906976,0.6785714285714286,0.4444444444444444
,Hispanic,male,21,32,19,18,0.37254901960784315,0.46153846153846156,0.5384615384615384,0.6274509803921569,0.4444444444444444
,Hispanic,female,29,40,16,13,0.2857142857142857,0.30952380952380953,0.6904761904761905,0.7142857142857143,0.45918367346938777
,Hispanic,neutral,25,34,18,17,0.34615384615384615,0.40476190476190477,0.5952380952380952,0.6538461538461539,0.4574468085106383
,Indigenous,male,17,24,34,33,0.5862068965517241,0.66,0.34,0.41379310344827586,0.4722222222222222
,Indigenous,female,23,32,29,23,0.47540983606557374,0.5,0.5,0.5245901639344263,0.48598130841121495
,Indigenous,neutral,20,26,31,29,0.543859649122807,0.5918367346938775,0.40816326530612246,0.45614035087719296,0.4811320754716981
Black,,male,17,21,23,25,0.5227272727272727,0.5952380952380952,0.40476190476190477,0.4772727272727273,0.46511627906976744
Black,,female,25,30,20,17,0.4,0.40476190476190477,0.5952380952380952,0.6,0.4891304347826087
Black,,neutral,17,23,23,25,0.5,0.5952380952380952,0.40476190476190477,0.5,0.45454545454545453
