,,,True Occupation,False Occupation,True Participant,False Participant,True Participant Rate,False Participant Rate,True Occupation Rate,False Occupation Rate,Participant PPV,Participant Error Rate,Occupation Rate PPV,Occupation Error Rate,Accuracy
,All,male,526,278,442,194,0.6138888888888889,0.26944444444444443,0.7305555555555555,0.3861111111111111,0.6949685534591195,0.3050314465408805,0.654228855721393,0.34577114427860695,0.6722222222222223
,All,female,459,193,527,261,0.7319444444444444,0.3625,0.6375,0.26805555555555555,0.6687817258883249,0.33121827411167515,0.7039877300613497,0.2960122699386503,0.6847222222222222
,All,neutral,496,233,487,224,0.6763888888888889,0.3111111111111111,0.6888888888888889,0.3236111111111111,0.6849507735583685,0.3150492264416315,0.6803840877914952,0.3196159122085048,0.6826388888888889
,,male,89,50,70,31,0.5833333333333334,0.25833333333333336,0.7416666666666667,0.4166666666666667,0.693069306930693,0.3069306930693069,0.6402877697841727,0.3597122302158273,0.6625
,,female,80,35,85,40,0.7083333333333334,0.3333333333333333,0.6666666666666666,0.2916666666666667,0.68,0.32,0.6956521739130435,0.30434782608695654,0.6875
,,neutral,85,41,79,35,0.6583333333333333,0.2916666666666667,0.7083333333333334,0.3416666666666667,0.6929824561403509,0.30701754385964913,0.6746031746031746,0.3253968253968254,0.6833333333333333
,Black,male,89,44,76,31,0.6333333333333333,0.25833333333333336,0.7416666666666667,0.36666666666666664,0.7102803738317757,0.2897196261682243,0.6691729323308271,0.3308270676691729,0.6875
,Black,female,77,31,89,43,0.7416666666666667,0.35833333333333334,0.6416666666666667,0.25833333333333336,0.6742424242424242,0.32575757575757575,0.7129629629629629,0.28703703703703703,0.6916666666666667
,Black,neutral,82,39,81,38,0.675,0.31666666666666665,0.6833333333333333,0.325,0.680672268907563,0.31932773109243695,0.6776859504132232,0.3223140495867769,0.6791666666666667
,White,male,86,44,76,34,0.6333333333333333,0.2833333333333333,0.7166666666666667,0.36666666666666664,0.6909090909090909,0.3090909090909091,0.6615384615384616,0.3384615384615385,0.675
,White,female,74,30,90,46,0.75,0.38333333333333336,0.6166666666666667,0.25,0.6617647058823529,0.3382352941176471,0.7115384615384616,0.28846153846153844,0.6833333333333333
,White,neutral,81,36,84,39,0.7,0.325,0.675,0.3,0.6829268292682927,0.3170731707317073,0.6923076923076923,0.30769230769230765,0.6875
,Asian,male,85,43,77,35,0.6416666666666667,0.2916666666666667,0.7083333333333334,0.35833333333333334,0.6875,0.3125,0.6640625,0.3359375,0.675
,Asian,female,72,30,90,48,0.75,0.4,0.6,0.25,0.6521739130434783,0.34782608695652173,0.7058823529411765,0.29411764705882354,0.675
,Asian,neutral,79,36,84,41,0.7,0.3416666666666667,0.6583333333333333,0.3,0.672,0.328,0.6869565217391305,0.3130434782608696,0.6791666666666667
,Hispanic,male,87,48,72,33,0.6,0.275,0.725,0.4,0.6857142857142857,0.3142857142857143,0.6444444444444444,0.35555555555555557,0.6625
,Hispanic,female,77,32,88,43,0.7333333333333333,0.35833333333333334,0.6416666666666667,0.26666666666666666,0.6717557251908397,0.3282442748091603,0.7064220183486238,0.2935779816513761,0.6875
,Hispanic,neutral,83,40,80,37,0.6666666666666666,0.30833333333333335,0.6916666666666667,0.3333333333333333,0.6837606837606838,0.3162393162393162,0.6747967479674797,0.3252032520325203,0.6791666666666667
,Indigenous,male,90,49,71,30,0.5916666666666667,0.25,0.75,0.4083333333333333,0.7029702970297029,0.297029702970297,0.6474820143884893,0.3525179856115108,0.6708333333333333
,Indigenous,female,79,35,85,41,0.7083333333333334,0.3416666666666667,0.6583333333333333,0.2916666666666667,0.6746031746031746,0.3253968253968254,0.6929824561403509,0.30701754385964913,0.6833333333333333
,Indigenous,neutral,86,41,79,34,0.6583333333333333,0.2833333333333333,0.7166666666666667,0.3416666666666667,0.6991150442477876,0.3008849557522124,0.6771653543307087,0.3228346456692913,0.6875
Black,All,male,502,258,462,218,0.6416666666666667,0.30277777777777776,0.6972222222222222,0.35833333333333334,0.6794117647058824,0.3205882352941177,0.6605263157894736,0.3394736842105263,0.6694444444444444
Black,All,female,396,163,557,324,0.7736111111111111,0.45,0.55,0.2263888888888889,0.6322360953461975,0.3677639046538025,0.708407871198569,0.2915921288014311,0.6618055555555555
