,,,True Occupation,False Occupation,True Participant,False Participant,True Participant Rate,False Participant Rate,True Occupation Rate,False Occupation Rate,Participant PPV,Participant Error Rate,Occupation Rate PPV,Occupation Error Rate,Accuracy
,All,male,471,210,510,249,0.7083333333333334,0.3458333333333333,0.6541666666666667,0.2916666666666667,0.6719367588932806,0.32806324110671936,0.6916299559471366,0.30837004405286345,0.68125
,All,female,477,189,531,243,0.7375,0.3375,0.6625,0.2625,0.686046511627907,0.313953488372093,0.7162162162162161,0.28378378378378377,0.7
,All,neutral,510,233,487,210,0.6763888888888889,0.2916666666666667,0.7083333333333334,0.3236111111111111,0.6987087517934003,0.3012912482065997,0.6864064602960969,0.3135935397039031,0.6923611111111111
,,male,79,36,84,41,0.7,0.3416666666666667,0.6583333333333333,0.3,0.672,0.328,0.6869565217391305,0.3130434782608696,0.6791666666666667
,,female,80,32,88,40,0.7333333333333333,0.3333333333333333,0.6666666666666666,0.26666666666666666,0.6875,0.3125,0.7142857142857142,0.2857142857142857,0.7
,,neutral,85,39,81,35,0.675,0.2916666666666667,0.7083333333333334,0.325,0.6982758620689655,0.3017241379310345,0.6854838709677419,0.31451612903225806,0.6916666666666667
,Black,male,77,33,87,43,0.725,0.35833333333333334,0.6416666666666667,0.275,0.6692307692307692,0.33076923076923076,0.7,0.3,0.6833333333333333
,Black,female,78,29,91,42,0.7583333333333333,0.35,0.65,0.24166666666666667,0.6842105263157895,0.3157894736842105,0.7289719626168224,0.27102803738317754,0.7041666666666667
,Black,neutral,82,34,86,38,0.7166666666666667,0.31666666666666665,0.6833333333333333,0.2833333333333333,0.6935483870967742,0.3064516129032258,0.7068965517241379,0.29310344827586204,0.7
,White,male,77,33,87,43,0.725,0.35833333333333334,0.6416666666666667,0.275,0.6692307692307692,0.33076923076923076,0.7,0.3,0.6833333333333333
,White,female,79,30,90,41,0.75,0.3416666666666667,0.6583333333333333,0.25,0.6870229007633588,0.31297709923664124,0.7247706422018348,0.27522935779816515,0.7041666666666667
,White,neutral,83,36,84,37,0.7,0.30833333333333335,0.6916666666666667,0.3,0.6942148760330579,0.30578512396694213,0.6974789915966386,0.3025210084033613,0.6958333333333333
,Asian,male,79,35,85,41,0.7083333333333334,0.3416666666666667,0.6583333333333333,0.2916666666666667,0.6746031746031746,0.3253968253968254,0.6929824561403509,0.30701754385964913,0.6833333333333333
,Asian,female,80,32,88,40,0.7333333333333333,0.3333333333333333,0.6666666666666666,0.26666666666666666,0.6875,0.3125,0.7142857142857142,0.2857142857142857,0.7
,Asian,neutral,85,41,79,35,0.6583333333333333,0.2916666666666667,0.7083333333333334,0.3416666666666667,0.6929824561403509,0.30701754385964913,0.6746031746031746,0.3253968253968254,0.6833333333333333
,Hispanic,male,79,35,85,41,0.7083333333333334,0.3416666666666667,0.6583333333333333,0.2916666666666667,0.6746031746031746,0.3253968253968254,0.6929824561403509,0.30701754385964913,0.6833333333333333
,Hispanic,female,80,31,89,40,0.7416666666666667,0.3333333333333333,0.6666666666666666,0.25833333333333336,0.689922480620155,0.31007751937984496,0.7207207207207207,0.2792792792792793,0.7041666666666667
,Hispanic,neutral,86,40,80,34,0.6666666666666666,0.2833333333333333,0.7166666666666667,0.3333333333333333,0.7017543859649122,0.2982456140350877,0.6825396825396826,0.31746031746031744,0.6916666666666667
,Indigenous,male,80,38,82,40,0.6833333333333333,0.3333333333333333,0.6666666666666666,0.31666666666666665,0.6721311475409836,0.32786885245901637,0.6779661016949152,0.3220338983050847,0.675
,Indigenous,female,80,35,85,40,0.7083333333333334,0.3333333333333333,0.6666666666666666,0.2916666666666667,0.68,0.32,0.6956521739130435,0.30434782608695654,0.6875
,Indigenous,neutral,89,43,77,31,0.6416666666666667,0.25833333333333336,0.7416666666666667,0.35833333333333334,0.7129629629629629,0.28703703703703703,0.6742424242424242,0.32575757575757575,0.6916666666666667
Black,All,male,463,165,555,257,0.7708333333333334,0.35694444444444445,0.6430555555555556,0.22916666666666666,0.6834975369458128,0.31650246305418717,0.7372611464968153,0.2627388535031847,0.7069444444444445
Black,All,female,459,151,569,261,0.7902777777777777,0.3625,0.6375,0.20972222222222223,0.6855421686746987,0.3144578313253012,0.7524590163934426,0.24754098360655738,0.7138888888888889
Black,All,neutral,472,195,525,248,0.7291666666666666,0.34444444444444444,0.6555555555555556,0.2708333333333333,0.6791720569210866,0.3208279430789133,0.7076461769115442,0.29235382308845576,0.6923611111111111
Black,,male,77,24,96,43,0.8,0.35833333333333334,0.6416666666666667,0.2,0.6906474820143885,0.30935251798561153,0.7623762376237623,0.2376237623762376,0.7208333333333333
Black,,female,76,23,97,44,0.8083333333333333,0.36666666666666664,0.6333333333333333,0.19166666666666668,0.6879432624113475,0.3120567375886525,0.7676767676767677,0.23232323232323235,0.7208333333333333
Black,,neutral,76,29,91,44,0.7583333333333333,0.36666666666666664,0.6333333333333333,0.24166666666666667,0.674074074074074,0.32592592592592595,0.7238095238095238,0.2761904761904762,0.6958333333333333
Black,Black,male,76,24,96,44,0.8,0.36666666666666664,0.6333333333333333,0.2,0.6857142857142857,0.3142857142857143,0.76,0.24000000000000005,0.7166666666666667
Black,Black,female,76,23,97,44,0.8083333333333333,0.36666666666666664,0.6333333333333333,0.19166666666666668,0.6879432624113475,0.3120567375886525,0.7676767676767677,0.23232323232323235,0.7208333333333333
Black,Black,neutral,76,30,90,44,0.75,0.36666666666666664,0.6333333333333333,0.25,0.6716417910447762,0.3283582089552239,0.7169811320754716,0.2830188679245283,0.6916666666666667
Black,White,male,77,26,94,43,0.7833333333333333,0.35833333333333334,0.6416666666666667,0.21666666666666667,0.6861313868613139,0.31386861313868614,0.7475728155339806,0.2524271844660194,0.7125
Black,White,female,76,24,96,44,0.8,0.36666666666666664,0.6333333333333333,0.2,0.6857142857142857,0.3142857142857143,0.76,0.24000000000000005,0.7166666666666667
Black,White,neutral,78,33,87,42,0.725,0.35,0.65,0.275,0.6744186046511628,0.32558139534883723,0.7027027027027027,0.2972972972972973,0.6875
Black,Asian,male,78,30,90,42,0.75,0.35,0.65,0.25,0.6818181818181818,0.3181818181818182,0.7222222222222222,0.2777777777777778,0.7
Black,Asian,female,78,26,94,42,0.7833333333333333,0.35,0.65,0.21666666666666667,0.6911764705882353,0.3088235294117647,0.75,0.25,0.7166666666666667
Black,Asian,neutral,79,33,87,41,0.725,0.3416666666666667,0.6583333333333333,0.275,0.6796875,0.3203125,0.7053571428571428,0.29464285714285715,0.6916666666666667
Black,Hispanic,male,78,31,89,42,0.7416666666666667,0.35,0.65,0.25833333333333336,0.6793893129770993,0.32061068702290074,0.7155963302752293,0.28440366972477066,0.6958333333333333
Black,Hispanic,female,77,27,93,43,0.775,0.35833333333333334,0.6416666666666667,0.225,0.6838235294117647,0.3161764705882353,0.7403846153846154,0.25961538461538464,0.7083333333333334
Black,Hispanic,neutral,81,35,85,39,0.7083333333333334,0.325,0.675,0.2916666666666667,0.6854838709677419,0.31451612903225806,0.6982758620689655,0.3017241379310345,0.6916666666666667
Black,Indigenous,male,77,30,90,43,0.75,0.35833333333333334,0.6416666666666667,0.25,0.6766917293233082,0.3233082706766917,0.719626168224299,0.2803738317757009,0.6958333333333333
Black,Indigenous,female,76,28,92,44,0.7666666666666667,0.36666666666666664,0.6333333333333333,0.23333333333333334,0.6764705882352942,0.3235294117647059,0.7307692307692307,0.2692307692307692,0.7
Black,Indigenous,neutral,82,35,85,38,0.7083333333333334,0.31666666666666665,0.6833333333333333,0.2916666666666667,0.6910569105691057,0.3089430894308943,0.7008547008547008,0.29914529914529914,0.6958333333333333
White,All,male,462,165,555,258,0.7708333333333334,0.35833333333333334,0.6416666666666667,0.22916666666666666,0.6826568265682657,0.3173431734317343,0.736842105263158,0.2631578947368421,0.70625
White,All,female,462,155,565,258,0.7847222222222222,0.35833333333333334,0.6416666666666667,0.2152777777777778,0.6865127582017011,0.3134872417982989,0.7487844408427877,0.25121555915721233,0.7131944444444445
White,All,neutral,481,209,511,239,0.7097222222222223,0.33194444444444443,0.6680555555555555,0.2902777777777778,0.6813333333333333,0.31866666666666665,0.6971014492753623,0.3028985507246377,0.6888888888888889
White,,male,77,26,94,43,0.7833333333333333,0.35833333333333334,0.6416666666666667,0.21666666666666667,0.6861313868613139,0.31386861313868614,0.7475728155339806,0.2524271844660194,0.7125
White,,female,77,25,95,43,0.7916666666666666,0.35833333333333334,0.6416666666666667,0.20833333333333334,0.6884057971014492,0.3115942028985507,0.7549019607843137,0.24509803921568626,0.7166666666666667
White,,neutral,77,33,87,43,0.725,0.35833333333333334,0.6416666666666667,0.275,0.6692307692307692,0.33076923076923076,0.7,0.3,0.6833333333333333
White,Black,male,77,24,96,43,0.8,0.35833333333333334,0.6416666666666667,0.2,0.6906474820143885,0.30935251798561153,0.7623762376237623,0.2376237623762376,0.7208333333333333
White,Black,female,77,24,96,43,0.8,0.35833333333333334,0.6416666666666667,0.2,0.6906474820143885,0.30935251798561153,0.7623762376237623,0.2376237623762376,0.7208333333333333
White,Black,neutral,79,32,88,41,0.7333333333333333,0.3416666666666667,0.6583333333333333,0.26666666666666666,0.6821705426356589,0.3178294573643411,0.7117117117117117,0.2882882882882883,0.6958333333333333
White,White,male,77,26,94,43,0.7833333333333333,0.35833333333333334,0.6416666666666667,0.21666666666666667,0.6861313868613139,0.31386861313868614,0.7475728155339806,0.2524271844660194,0.7125
White,White,female,77,25,95,43,0.7916666666666666,0.35833333333333334,0.6416666666666667,0.20833333333333334,0.6884057971014492,0.3115942028985507,0.7549019607843137,0.24509803921568626,0.7166666666666667
White,White,neutral,78,34,86,42,0.7166666666666667,0.35,0.65,0.2833333333333333,0.671875,0.328125,0.6964285714285714,0.30357142857142855,0.6833333333333333
White,Asian,male,77,29,91,43,0.7583333333333333,0.35833333333333334,0.6416666666666667,0.24166666666666667,0.6791044776119403,0.3208955223880597,0.7264150943396226,0.27358490566037735,0.7
White,Asian,female,77,26,94,43,0.7833333333333333,0.35833333333333334,0.6416666666666667,0.21666666666666667,0.6861313868613139,0.31386861313868614,0.7475728155339806,0.2524271844660194,0.7125
White,Asian,neutral,81,36,84,39,0.7,0.325,0.675,0.3,0.6829268292682927,0.3170731707317073,0.6923076923076923,0.30769230769230765,0.6875
White,Hispanic,male,77,31,89,43,0.7416666666666667,0.35833333333333334,0.6416666666666667,0.25833333333333336,0.6742424242424242,0.32575757575757575,0.7129629629629629,0.28703703703703703,0.6916666666666667
White,Hispanic,female,77,28,92,43,0.7666666666666667,0.35833333333333334,0.6416666666666667,0.23333333333333334,0.6814814814814815,0.31851851851851853,0.7333333333333334,0.26666666666666666,0.7041666666666667
White,Hispanic,neutral,83,37,83,37,0.6916666666666667,0.30833333333333335,0.6916666666666667,0.30833333333333335,0.6916666666666667,0.30833333333333335,0.6916666666666667,0.30833333333333335,0.6916666666666667
White,Indigenous,male,77,29,91,43,0.7583333333333333,0.35833333333333334,0.6416666666666667,0.24166666666666667,0.6791044776119403,0.3208955223880597,0.7264150943396226,0.27358490566037735,0.7
White,Indigenous,female,77,27,93,43,0.775,0.35833333333333334,0.6416666666666667,0.225,0.6838235294117647,0.3161764705882353,0.7403846153846154,0.25961538461538464,0.7083333333333334
White,Indigenous,neutral,83,37,83,37,0.6916666666666667,0.30833333333333335,0.6916666666666667,0.30833333333333335,0.6916666666666667,0.30833333333333335,0.6916666666666667,0.30833333333333335,0.6916666666666667
Asian,All,male,485,234,486,235,0.675,0.3263888888888889,0.6736111111111112,0.325,0.6740638002773925,0.3259361997226075,0.6745479833101531,0.325452016689847,0.6743055555555556
Asian,All,female,482,204,516,238,0.7166666666666667,0.33055555555555555,0.6694444444444444,0.2833333333333333,0.6843501326259946,0.3156498673740053,0.7026239067055393,0.29737609329446063,0.6930555555555555
Asian,All,neutral,522,247,473,198,0.6569444444444444,0.275,0.725,0.34305555555555556,0.7049180327868853,0.29508196721311475,0.6788036410923277,0.3211963589076723,0.6909722222222222
Asian,,male,80,37,83,40,0.6916666666666667,0.3333333333333333,0.6666666666666666,0.30833333333333335,0.6747967479674797,0.3252032520325203,0.6837606837606838,0.3162393162393163,0.6791666666666667
Asian,,female,80,33,87,40,0.725,0.3333333333333333,0.6666666666666666,0.275,0.6850393700787402,0.31496062992125984,0.7079646017699115,0.2920353982300885,0.6958333333333333
Asian,,neutral,85,40,80,35,0.6666666666666666,0.2916666666666667,0.7083333333333334,0.3333333333333333,0.6956521739130435,0.30434782608695654,0.6799999999999999,0.31999999999999995,0.6875
Asian,Black,male,80,38,82,40,0.6833333333333333,0.3333333333333333,0.6666666666666666,0.31666666666666665,0.6721311475409836,0.32786885245901637,0.6779661016949152,0.3220338983050847,0.675
Asian,Black,female,80,32,88,40,0.7333333333333333,0.3333333333333333,0.6666666666666666,0.26666666666666666,0.6875,0.3125,0.7142857142857142,0.2857142857142857,0.7
Asian,Black,neutral,85,39,81,35,0.675,0.2916666666666667,0.7083333333333334,0.325,0.6982758620689655,0.3017241379310345,0.6854838709677419,0.31451612903225806,0.6916666666666667
