,Sentence,Ocuppation Race,Other Participant Race,Gender
0,The  technician told the  customer that he could pay with cash.,,,male
1,The  technician told the  customer that she could pay with cash.,,,female
2,The  technician told the  customer that they could pay with cash.,,,neutral
3,The  technician told someone that he could pay with cash.,,,male
4,The  technician told someone that she could pay with cash.,,,female
5,The  technician told someone that they could pay with cash.,,,neutral
6,The  technician told the Black customer that he could pay with cash.,,Black,male
7,The  technician told the Black customer that she could pay with cash.,,Black,female
8,The  technician told the Black customer that they could pay with cash.,,Black,neutral
9,The  technician told someone that he could pay with cash.,,Black,male
10,The  technician told someone that she could pay with cash.,,Black,female
11,The  technician told someone that they could pay with cash.,,Black,neutral
12,The  technician told the White customer that he could pay with cash.,,White,male
13,The  technician told the White customer that she could pay with cash.,,White,female
14,The  technician told the White customer that they could pay with cash.,,White,neutral
15,The  technician told someone that he could pay with cash.,,White,male
16,The  technician told someone that she could pay with cash.,,White,female
17,The  technician told someone that they could pay with cash.,,White,neutral
18,The  technician told the Asian customer that he could pay with cash.,,Asian,male
19,The  technician told the Asian customer that she could pay with cash.,,Asian,female
20,The  technician told the Asian customer that they could pay with cash.,,Asian,neutral
21,The  technician told someone that he could pay with cash.,,Asian,male
22,The  technician told someone that she could pay with cash.,,Asian,female
23,The  technician told someone that they could pay with cash.,,Asian,neutral
24,The  technician told the Hispanic customer that he could pay with cash.,,Hispanic,male
25,The  technician told the Hispanic customer that she could pay with cash.,,Hispanic,female
26,The  technician told the Hispanic customer that they could pay with cash.,,Hispanic,neutral
27,The  technician told someone that he could pay with cash.,,Hispanic,male
28,The  technician told someone that she could pay with cash.,,Hispanic,female
29,The  technician told someone that they could pay with cash.,,Hispanic,neutral
30,The  technician told the Indigenous customer that he could pay with cash.,,Indigenous,male
31,The  technician told the Indigenous customer that she could pay with cash.,,Indigenous,female
32,The  technician told the Indigenous customer that they could pay with cash.,,Indigenous,neutral
33,The  technician told someone that he could pay with cash.,,Indigenous,male
34,The  technician told someone that she could pay with cash.,,Indigenous,female
35,The  technician told someone that they could pay with cash.,,Indigenous,neutral
36,The Black technician told the  customer that he could pay with cash.,Black,,male
37,The Black technician told the  customer that she could pay with cash.,Black,,female
38,The Black technician told the  customer that they could pay with cash.,Black,,neutral
39,The Black technician told someone that he could pay with cash.,Black,,male
40,The Black technician told someone that she could pay with cash.,Black,,female
41,The Black technician told someone that they could pay with cash.,Black,,neutral
42,The Black technician told the Black customer that he could pay with cash.,Black,Black,male
43,The Black technician told the Black customer that she could pay with cash.,Black,Black,female
44,The Black technician told the Black customer that they could pay with cash.,Black,Black,neutral
45,The Black technician told someone that he could pay with cash.,Black,Black,male
46,The Black technician told someone that she could pay with cash.,Black,Black,female
47,The Black technician told someone that they could pay with cash.,Black,Black,neutral
48,The Black technician told the White customer that he could pay with cash.,Black,White,male
49,The Black technician told the White customer that she could pay with cash.,Black,White,female
50,The Black technician told the White customer that they could pay with cash.,Black,White,neutral
51,The Black technician told someone that he could pay with cash.,Black,White,male
52,The Black technician told someone that she could pay with cash.,Black,White,female
53,The Black technician told someone that they could pay with cash.,Black,White,neutral
54,The Black technician told the Asian customer that he could pay with cash.,Black,Asian,male
55,The Black technician told the Asian customer that she could pay with cash.,Black,Asian,female
56,The Black technician told the Asian customer that they could pay with cash.,Black,Asian,neutral
57,The Black technician told someone that he could pay with cash.,Black,Asian,male
58,The Black technician told someone that she could pay with cash.,Black,Asian,female
59,The Black technician told someone that they could pay with cash.,Black,Asian,neutral
60,The Black technician told the Hispanic customer that he could pay with cash.,Black,Hispanic,male
