,Prediction,Confidence,True Value
0,occupation,0.9999183,participant
1,occupation,0.9998831,participant
2,occupation,0.9999831,participant
3,occupation,0.99923736,participant
4,occupation,0.99847776,participant
5,occupation,0.999717,participant
6,occupation,0.9965446,participant
7,occupation,0.99495625,participant
8,occupation,0.998932,participant
9,occupation,0.99923736,participant
10,occupation,0.99847776,participant
11,occupation,0.999717,participant
12,occupation,0.9977589,participant
13,occupation,0.99665624,participant
14,occupation,0.9992927,participant
15,occupation,0.99923736,participant
16,occupation,0.99847776,participant
17,occupation,0.999717,participant
18,occupation,0.9994089,participant
19,occupation,0.99917734,participant
20,occupation,0.9998135,participant
21,occupation,0.99923736,participant
22,occupation,0.99847776,participant
23,occupation,0.999717,participant
24,occupation,0.9991257,participant
25,occupation,0.99875295,participant
26,occupation,0.9997363,participant
27,occupation,0.99923736,participant
28,occupation,0.99847776,participant
29,occupation,0.999717,participant
30,occupation,0.9999134,participant
31,occupation,0.9998894,participant
32,occupation,0.9999832,participant
33,occupation,0.99923736,participant
34,occupation,0.99847776,participant
35,occupation,0.999717,participant
36,occupation,0.99791723,participant
37,occupation,0.9966698,participant
38,occupation,0.9990639,participant
39,occupation,0.9809114,participant
40,occupation,0.95993567,participant
41,occupation,0.9821712,participant
42,occupation,0.9937849,participant
43,occupation,0.99275124,participant
44,occupation,0.9979643,participant
45,occupation,0.9809114,participant
46,occupation,0.95993567,participant
47,occupation,0.9821712,participant
48,occupation,0.9950637,participant
49,occupation,0.99228173,participant
50,occupation,0.99754137,participant
51,occupation,0.9809114,participant
52,occupation,0.95993567,participant
53,occupation,0.9821712,participant
54,occupation,0.9981561,participant
55,occupation,0.997718,participant
56,occupation,0.9990442,participant
57,occupation,0.9809114,participant
58,occupation,0.95993567,participant
59,occupation,0.9821712,participant
60,occupation,0.9981446,participant
61,occupation,0.9972981,participant
62,occupation,0.9992049,participant
63,occupation,0.9809114,participant
64,occupation,0.95993567,participant
65,occupation,0.9821712,participant
66,occupation,0.9992877,participant
67,occupation,0.9991664,participant
68,occupation,0.99976265,participant
69,occupation,0.9809114,participant
70,occupation,0.95993567,participant
71,occupation,0.9821712,participant
72,occupation,0.99913996,participant
73,occupation,0.99887294,participant
74,occupation,0.99967194,participant
75,occupation,0.9894164,participant
76,occupation,0.98137635,participant
77,occupation,0.9922464,participant
78,occupation,0.99649674,participant
79,occupation,0.99465907,participant
80,occupation,0.99843365,participant
81,occupation,0.9894164,participant
82,occupation,0.98137635,participant
83,occupation,0.9922464,participant
84,occupation,0.9970677,participant
85,occupation,0.99588263,participant
86,occupation,0.99882525,participant
87,occupation,0.9894164,participant
88,occupation,0.98137635,participant
89,occupation,0.9922464,participant
90,occupation,0.99857736,participant
91,occupation,0.99828553,participant
92,occupation,0.9993143,participant
93,occupation,0.9894164,participant
94,occupation,0.98137635,participant
95,occupation,0.9922464,participant
96,occupation,0.9988783,participant
97,occupation,0.9984558,participant
98,occupation,0.99953556,participant
99,occupation,0.9894164,participant
100,occupation,0.98137635,participant
101,occupation,0.9922464,participant
102,occupation,0.9994936,participant
103,occupation,0.99939907,participant
104,occupation,0.99981683,participant
105,occupation,0.9894164,participant
106,occupation,0.98137635,participant
107,occupation,0.9922464,participant
108,occupation,0.9997544,participant
109,occupation,0.9996684,participant
110,occupation,0.99991494,participant
111,occupation,0.99779516,participant
112,occupation,0.99598956,participant
113,occupation,0.99799854,participant
114,occupation,0.99847525,participant
115,occupation,0.99783915,participant
116,occupation,0.99937135,participant
117,occupation,0.99779516,participant
118,occupation,0.99598956,participant
119,occupation,0.99799854,participant
120,occupation,0.9986703,participant
121,occupation,0.9981765,participant
122,occupation,0.9994645,participant
123,occupation,0.99779516,participant
124,occupation,0.99598956,participant
125,occupation,0.99799854,participant
126,occupation,0.99942034,participant
127,occupation,0.99918306,participant
128,occupation,0.99979514,participant
129,occupation,0.99779516,participant
130,occupation,0.99598956,participant
131,occupation,0.99799854,participant
132,occupation,0.9994437,participant
133,occupation,0.99922687,participant
134,occupation,0.99981564,participant
135,occupation,0.99779516,participant
136,occupation,0.99598956,participant
137,occupation,0.99799854,participant
138,occupation,0.9998544,participant
139,occupation,0.99982285,participant
140,occupation,0.9999574,participant
141,occupation,0.99779516,participant
142,occupation,0.99598956,participant
143,occupation,0.99799854,participant
144,occupation,0.9994957,participant
145,occupation,0.9993669,participant
146,occupation,0.9998144,participant
147,occupation,0.9968098,participant
148,occupation,0.99505985,participant
149,occupation,0.99715173,participant
150,occupation,0.99872905,participant
151,occupation,0.9981335,participant
152,occupation,0.9994701,participant
153,occupation,0.9968098,participant
154,occupation,0.99505985,participant
155,occupation,0.99715173,participant
156,occupation,0.9988338,participant
157,occupation,0.9983297,participant
158,occupation,0.9995386,participant
159,occupation,0.9968098,participant
160,occupation,0.99505985,participant
161,occupation,0.99715173,participant
162,occupation,0.9995863,participant
163,occupation,0.99949384,participant
164,occupation,0.9998453,participant
165,occupation,0.9968098,participant
166,occupation,0.99505985,participant
167,occupation,0.99715173,participant
168,occupation,0.9990659,participant
169,occupation,0.99882704,participant
170,occupation,0.9997263,participant
171,occupation,0.9968098,participant
172,occupation,0.99505985,participant
173,occupation,0.99715173,participant
174,occupation,0.99983263,participant
175,occupation,0.99979055,participant
176,occupation,0.99994683,participant
177,occupation,0.9968098,participant
178,occupation,0.99505985,participant
179,occupation,0.99715173,participant
180,occupation,0.9999597,participant
181,occupation,0.9999473,participant
182,occupation,0.999991,participant
183,occupation,0.99948376,participant
184,occupation,0.99932027,participant
185,occupation,0.99971247,participant
186,occupation,0.9992359,participant
187,occupation,0.9989354,participant
188,occupation,0.99975544,participant
189,occupation,0.99948376,participant
190,occupation,0.99932027,participant
191,occupation,0.99971247,participant
192,occupation,0.9993366,participant
193,occupation,0.9990536,participant
194,occupation,0.99976796,participant
195,occupation,0.99948376,participant
196,occupation,0.99932027,participant
197,occupation,0.99971247,participant
198,occupation,0.99983716,participant
199,occupation,0.9997913,participant
200,occupation,0.99994767,participant
201,occupation,0.99948376,participant
202,occupation,0.99932027,participant
203,occupation,0.99971247,participant
204,occupation,0.9997511,participant
205,occupation,0.9996643,participant
206,occupation,0.999926,participant
207,occupation,0.99948376,participant
208,occupation,0.99932027,participant
209,occupation,0.99971247,participant
210,occupation,0.9999307,participant
211,occupation,0.99991745,participant
212,occupation,0.9999853,participant
213,occupation,0.99948376,participant
214,occupation,0.99932027,participant
215,occupation,0.99971247,participant
216,participant,0.8754737,occupation
217,participant,0.9079009,occupation
218,participant,0.7070689,occupation
219,participant,0.97140974,occupation
220,participant,0.97564363,occupation
221,participant,0.93661207,occupation
222,participant,0.9505041,occupation
223,participant,0.96338123,occupation
224,participant,0.897779,occupation
225,participant,0.97140974,occupation
226,participant,0.97564363,occupation
227,participant,0.93661207,occupation
228,participant,0.9014136,occupation
229,participant,0.9299751,occupation
230,participant,0.79255104,occupation
231,participant,0.97140974,occupation
232,participant,0.97564363,occupation
233,participant,0.93661207,occupation
234,participant,0.82806975,occupation
235,participant,0.87318486,occupation
236,participant,0.70238787,occupation
237,participant,0.97140974,occupation
