,Prediction,Confidence,True Value
0,participant,0.9980271,participant
1,participant,0.9996265,participant
2,participant,0.9993644,participant
3,participant,0.9996888,participant
4,participant,0.9999658,participant
5,participant,0.9998454,participant
6,participant,0.9980857,participant
7,participant,0.99981654,participant
8,participant,0.99955785,participant
9,participant,0.9996888,participant
10,participant,0.9999658,participant
11,participant,0.9998454,participant
12,participant,0.99974024,participant
13,participant,0.9999614,participant
14,participant,0.99993575,participant
15,participant,0.9996888,participant
16,participant,0.9999658,participant
17,participant,0.9998454,participant
18,participant,0.99898607,participant
19,participant,0.9997655,participant
20,participant,0.99970853,participant
21,participant,0.9996888,participant
22,participant,0.9999658,participant
23,participant,0.9998454,participant
24,participant,0.9955226,participant
25,participant,0.99900496,participant
26,participant,0.99869937,participant
27,participant,0.9996888,participant
28,participant,0.9999658,participant
29,participant,0.9998454,participant
30,participant,0.9969955,participant
31,participant,0.9994969,participant
32,participant,0.99931103,participant
33,participant,0.9996888,participant
34,participant,0.9999658,participant
35,participant,0.9998454,participant
36,participant,0.99673104,participant
37,participant,0.9995064,participant
38,participant,0.9992089,participant
39,participant,0.9995984,participant
40,participant,0.99997574,participant
41,participant,0.99989915,participant
42,participant,0.9978293,participant
43,participant,0.9996869,participant
44,participant,0.9994944,participant
45,participant,0.9995984,participant
46,participant,0.99997574,participant
47,participant,0.99989915,participant
48,participant,0.99943036,participant
49,participant,0.99993134,participant
50,participant,0.9998691,participant
51,participant,0.9995984,participant
52,participant,0.99997574,participant
53,participant,0.99989915,participant
54,participant,0.9991206,participant
55,participant,0.9998568,participant
56,participant,0.99979943,participant
57,participant,0.9995984,participant
58,participant,0.99997574,participant
59,participant,0.99989915,participant
60,participant,0.99702436,participant
61,participant,0.9993173,participant
62,participant,0.99916196,participant
63,participant,0.9995984,participant
64,participant,0.99997574,participant
65,participant,0.99989915,participant
66,participant,0.9969467,participant
67,participant,0.99948543,participant
68,participant,0.9994454,participant
69,participant,0.9995984,participant
70,participant,0.99997574,participant
71,participant,0.99989915,participant
72,participant,0.9994909,participant
73,participant,0.99991167,participant
74,participant,0.99984556,participant
75,participant,0.9998779,participant
76,participant,0.9999915,participant
77,participant,0.99995184,participant
78,participant,0.9994436,participant
79,participant,0.9999293,participant
80,participant,0.99985135,participant
81,participant,0.9998779,participant
82,participant,0.9999915,participant
83,participant,0.99995184,participant
84,participant,0.99973,participant
85,participant,0.9999476,participant
86,participant,0.9999232,participant
87,participant,0.9998779,participant
88,participant,0.9999915,participant
89,participant,0.99995184,participant
90,participant,0.99980867,participant
91,participant,0.99995655,participant
92,participant,0.99994564,participant
93,participant,0.9998779,participant
94,participant,0.9999915,participant
95,participant,0.99995184,participant
96,participant,0.9990572,participant
97,participant,0.9997541,participant
98,participant,0.99969196,participant
99,participant,0.9998779,participant
100,participant,0.9999915,participant
101,participant,0.99995184,participant
102,participant,0.99913937,participant
103,participant,0.999825,participant
104,participant,0.9998159,participant
105,participant,0.9998779,participant
106,participant,0.9999915,participant
107,participant,0.99995184,participant
108,participant,0.99911165,participant
109,participant,0.99987173,participant
110,participant,0.99972993,participant
111,participant,0.9998639,participant
112,participant,0.99998784,participant
113,participant,0.99993974,participant
114,participant,0.99950254,participant
115,participant,0.99994963,participant
116,participant,0.9998773,participant
117,participant,0.9998639,participant
118,participant,0.99998784,participant
119,participant,0.99993974,participant
120,participant,0.99985975,participant
121,participant,0.9999802,participant
122,participant,0.99996656,participant
123,participant,0.9998639,participant
124,participant,0.99998784,participant
125,participant,0.99993974,participant
126,participant,0.9995985,participant
127,participant,0.9999189,participant
128,participant,0.99987185,participant
129,participant,0.9998639,participant
130,participant,0.99998784,participant
131,participant,0.99993974,participant
132,participant,0.9991429,participant
133,participant,0.99978435,participant
134,participant,0.9997378,participant
135,participant,0.9998639,participant
136,participant,0.99998784,participant
137,participant,0.99993974,participant
138,participant,0.9993913,participant
139,participant,0.9998878,participant
140,participant,0.9998553,participant
141,participant,0.9998639,participant
142,participant,0.99998784,participant
143,participant,0.99993974,participant
144,participant,0.9963265,participant
145,participant,0.9994303,participant
146,participant,0.99894476,participant
147,participant,0.9994625,participant
148,participant,0.9999504,participant
149,participant,0.9997808,participant
150,participant,0.997982,participant
151,participant,0.99967265,participant
152,participant,0.999514,participant
153,participant,0.9994625,participant
154,participant,0.9999504,participant
155,participant,0.9997808,participant
156,participant,0.9993745,participant
157,participant,0.9998919,participant
158,participant,0.9998409,participant
159,participant,0.9994625,participant
160,participant,0.9999504,participant
161,participant,0.9997808,participant
162,participant,0.9989277,participant
163,participant,0.9997333,participant
164,participant,0.9997197,participant
165,participant,0.9994625,participant
166,participant,0.9999504,participant
167,participant,0.9997808,participant
168,participant,0.99657696,participant
169,participant,0.99912024,participant
170,participant,0.99893373,participant
171,participant,0.9994625,participant
172,participant,0.9999504,participant
173,participant,0.9997808,participant
174,participant,0.99739623,participant
175,participant,0.99947685,participant
176,participant,0.9993579,participant
177,participant,0.9994625,participant
178,participant,0.9999504,participant
179,participant,0.9997808,participant
180,participant,0.99389476,participant
181,participant,0.9989393,participant
182,participant,0.9985561,participant
183,participant,0.99897295,participant
184,participant,0.9999102,participant
185,participant,0.99963254,participant
186,participant,0.9972822,participant
187,participant,0.9996832,participant
188,participant,0.9995611,participant
189,participant,0.99897295,participant
190,participant,0.9999102,participant
191,participant,0.99963254,participant
192,participant,0.9990823,participant
193,participant,0.99980986,participant
194,participant,0.999797,participant
195,participant,0.99897295,participant
196,participant,0.9999102,participant
197,participant,0.99963254,participant
198,participant,0.99863875,participant
199,participant,0.99969006,participant
200,participant,0.99967784,participant
201,participant,0.99897295,participant
202,participant,0.9999102,participant
203,participant,0.99963254,participant
204,participant,0.9949804,participant
205,participant,0.9987447,participant
206,participant,0.9986192,participant
207,participant,0.99897295,participant
208,participant,0.9999102,participant
209,participant,0.99963254,participant
210,participant,0.9924353,participant
211,participant,0.9983208,participant
212,participant,0.9981217,participant
213,participant,0.99897295,participant
214,participant,0.9999102,participant
215,participant,0.99963254,participant
216,occupation,0.9984903,occupation
217,occupation,0.98810524,occupation
218,occupation,0.9913911,occupation
219,occupation,0.99966437,occupation
220,occupation,0.99645174,occupation
221,occupation,0.9984698,occupation
222,occupation,0.994112,occupation
223,occupation,0.9684308,occupation
224,occupation,0.96706855,occupation
225,occupation,0.99966437,occupation
226,occupation,0.99645174,occupation
227,occupation,0.9984698,occupation
228,occupation,0.9872622,occupation
229,occupation,0.9373091,occupation
230,occupation,0.89551896,occupation
231,occupation,0.99966437,occupation
232,occupation,0.99645174,occupation
233,occupation,0.9984698,occupation
234,occupation,0.97363,occupation
235,occupation,0.875166,occupation
236,occupation,0.83451396,occupation
237,occupation,0.99966437,occupation
238,occupation,0.99645174,occupation
239,occupation,0.9984698,occupation
240,occupation,0.98982626,occupation
241,occupation,0.95923334,occupation
242,occupation,0.9590491,occupation
243,occupation,0.99966437,occupation
244,occupation,0.99645174,occupation
245,occupation,0.9984698,occupation
246,occupation,0.99877155,occupation
247,occupation,0.9934577,occupation
248,occupation,0.99238425,occupation
249,occupation,0.99966437,occupation
250,occupation,0.99645174,occupation
251,occupation,0.9984698,occupation
252,occupation,0.99406165,occupation
253,occupation,0.91535854,occupation
254,occupation,0.9550911,occupation
255,occupation,0.9977707,occupation
256,occupation,0.96616155,occupation
257,occupation,0.9932591,occupation
258,occupation,0.9813203,occupation
259,occupation,0.8603132,occupation
260,occupation,0.9384218,occupation
261,occupation,0.9977707,occupation
262,occupation,0.96616155,occupation
263,occupation,0.9932591,occupation
264,occupation,0.9839451,occupation
265,occupation,0.9110573,occupation
266,occupation,0.95125955,occupation
267,occupation,0.9977707,occupation
268,occupation,0.96616155,occupation
269,occupation,0.9932591,occupation
270,occupation,0.9193323,occupation
271,occupation,0.6035982,occupation
272,occupation,0.7663084,occupation
273,occupation,0.9977707,occupation
274,occupation,0.96616155,occupation
275,occupation,0.9932591,occupation
276,occupation,0.98257846,occupation
277,occupation,0.88441455,occupation
278,occupation,0.95415103,occupation
279,occupation,0.9977707,occupation
280,occupation,0.96616155,occupation
281,occupation,0.9932591,occupation
282,occupation,0.9966685,occupation
283,occupation,0.9694313,occupation
284,occupation,0.9697853,occupation
285,occupation,0.9977707,occupation
286,occupation,0.96616155,occupation
287,occupation,0.9932591,occupation
288,occupation,0.9890803,occupation
289,occupation,0.8785554,occupation
290,occupation,0.9336071,occupation
291,occupation,0.99737203,occupation
292,occupation,0.9644897,occupation
293,occupation,0.9893671,occupation
294,occupation,0.9824981,occupation
295,occupation,0.9055846,occupation
296,occupation,0.9316903,occupation
297,occupation,0.99737203,occupation
